batting_team,bowling_team,venue,overs,current_runs,wickets,last_5_overs_runs,total_score
PBKS,GT,Delhi,4.3,38,7,32,167
LSG,DC,Delhi,2.1,13,7,54,163
KKR,GT,Jaipur,4.2,35,5,30,186
RCB,KKR,Kolkata,1.9,18,3,59,129
DC,LSG,Jaipur,4.9,37,6,69,127
SRH,KKR,Ahmedabad,18.8,123,1,72,132
GT,KKR,Chennai,1.6,9,5,60,173
RCB,CSK,Ahmedabad,14.7,125,1,33,168
RCB,LSG,Chennai,6.7,61,6,46,164
SRH,MI,Kolkata,5.9,57,6,41,197
CSK,SRH,Delhi,10.3,72,1,68,165
SRH,RCB,Delhi,11.1,81,4,64,141
PBKS,DC,Ahmedabad,3.2,19,9,66,166
LSG,CSK,Ahmedabad,3.4,30,7,65,160
SRH,KKR,Mumbai,5.9,52,10,77,163
SRH,CSK,Kolkata,18.5,141,8,51,150
KKR,RCB,Jaipur,9.7,70,3,70,168
LSG,RR,Jaipur,18.0,177,3,40,189
DC,KKR,Delhi,5.5,37,6,59,130
CSK,SRH,Hyderabad,6.4,48,8,44,178
RCB,MI,Hyderabad,18.0,119,2,40,131
MI,LSG,Hyderabad,17.5,138,10,70,156
RR,MI,Delhi,12.8,104,8,73,173
RR,GT,Hyderabad,8.5,76,3,63,160
RR,CSK,Kolkata,6.6,49,1,66,146
MI,DC,Ahmedabad,7.8,76,2,53,165
GT,MI,Bangalore,9.8,59,9,72,141
MI,RCB,Ahmedabad,14.9,118,0,73,160
MI,SRH,Bangalore,14.8,119,6,46,166
RCB,KKR,Delhi,17.5,148,10,76,166
PBKS,KKR,Hyderabad,5.4,47,9,69,185
RR,DC,Ahmedabad,16.6,100,7,47,124
RCB,SRH,Bangalore,2.3,17,6,53,185
PBKS,RR,Hyderabad,7.5,66,10,36,166
MI,LSG,Kolkata,15.4,134,2,78,176
RR,GT,Bangalore,8.9,78,6,45,154
KKR,RR,Mumbai,10.3,74,8,44,158
RR,GT,Mumbai,10.8,66,7,35,123
LSG,MI,Jaipur,14.3,128,0,52,180
CSK,LSG,Hyderabad,13.6,132,2,56,190
CSK,RCB,Bangalore,1.9,13,7,48,150
RR,RCB,Ahmedabad,1.7,16,9,34,144
MI,KKR,Ahmedabad,5.3,35,10,35,179
DC,PBKS,Bangalore,3.3,21,2,78,184
LSG,RR,Ahmedabad,18.2,132,10,30,145
LSG,KKR,Mumbai,4.5,27,5,74,124
GT,MI,Ahmedabad,4.0,33,8,56,149
SRH,LSG,Ahmedabad,17.3,113,8,68,139
LSG,GT,Chennai,6.7,45,10,54,128
CSK,LSG,Chennai,14.2,95,4,61,138
SRH,PBKS,Hyderabad,12.1,91,5,35,160
RR,DC,Mumbai,8.5,73,1,41,171
RR,MI,Mumbai,12.8,126,6,39,172
SRH,KKR,Delhi,16.6,141,8,57,172
DC,RCB,Jaipur,15.1,149,3,74,194
KKR,RCB,Mumbai,14.0,93,6,61,140
RR,CSK,Delhi,4.5,29,0,79,174
CSK,LSG,Mumbai,3.6,27,9,43,126
RR,PBKS,Kolkata,7.9,48,6,43,168
RR,MI,Hyderabad,10.5,92,0,54,178
CSK,RR,Mumbai,6.4,40,7,35,157
GT,DC,Bangalore,19.8,157,3,53,158
KKR,SRH,Bangalore,15.5,137,7,67,175
LSG,SRH,Delhi,12.7,124,9,61,171
CSK,KKR,Ahmedabad,3.8,28,4,63,127
SRH,MI,Chennai,17.6,150,5,62,170
DC,LSG,Jaipur,9.2,78,3,67,173
LSG,MI,Ahmedabad,10.7,99,4,75,164
KKR,GT,Ahmedabad,1.6,13,5,54,163
KKR,RCB,Jaipur,12.1,83,8,74,161
RR,DC,Bangalore,9.0,86,3,63,172
MI,LSG,Mumbai,3.0,29,10,75,160
PBKS,LSG,Jaipur,19.0,144,3,36,150
RR,RCB,Hyderabad,16.7,138,3,52,167
DC,SRH,Jaipur,8.8,77,5,77,181
RCB,RR,Kolkata,4.7,31,10,58,172
LSG,CSK,Hyderabad,2.4,18,10,42,133
MI,PBKS,Mumbai,2.9,21,9,41,128
DC,PBKS,Hyderabad,13.3,125,5,77,175
RR,PBKS,Jaipur,3.4,20,2,50,157
GT,RR,Kolkata,11.0,109,6,68,163
RCB,DC,Ahmedabad,5.3,49,3,30,173
GT,CSK,Jaipur,19.1,141,8,58,149
PBKS,MI,Chennai,19.0,150,6,52,157
